code,team
ALG,Algeria
ARG,Argentina
AUS,Australia
AUT,Austria
BEL,Belgium
BIH,Bosnia and Herzegovina
BRA,Brazil
CAN,Canada
CIV,Ivory Coast
COD,DR Congo
COL,Colombia
CPV,Cape Verde
CRO,Croatia
CUR,Curacao
CZE,Czechia
ECU,Ecuador
EGY,Egypt
ENG,England
ESP,Spain
FRA,France
GER,Germany
GHA,Ghana
HAI,Haiti
IRA,Iran
IRN,Iran
JAP,Japan
JOR,Jordan
KOR,South Korea
KSA,Saudi Arabia
MAR,Morocco
MEX,Mexico
NED,Netherlands
NOR,Norway
NZL,New Zealand
PAN,Panama
PAR,Paraguay
POR,Portugal
QAT,Qatar
RSA,South Africa
SCO,Scotland
SEN,Senegal
SUI,Switzerland
SWE,Sweden
TUN,Tunisia
TUR,Türkiye
TÜR,Türkiye
URU,Uruguay
USA,United States
UZB,Uzbekistan
